country,score_2020,score_2021,score_2022,economy_2020,economy_2021,economy_2022
UZ,6.181500038909917,6.226600038909908,6.271700038909913,0.7862212175445578,0.8070422175445557,0.8278632175445608
SK,6.258700009918215,6.308800009918215,6.358900009918216,1.2713417115097023,1.2797867115097041,1.2882317115097024
JP,5.863400015258783,5.842600015258782,5.8218000152587805,1.3456800356597909,1.3483250356597911,1.3509700356597905
KP,5.843999964141847,5.830199964141848,5.816399964141848,1.320343688591004,1.3222736885910038,1.324203688591004
EC,6.022899979400632,6.033199979400633,6.0434999794006306,0.9313500796661378,0.932540079666138,0.9337300796661379
BH,6.223299978637698,6.259799978637702,6.296299978637705,1.3827544522018442,1.3801784522018439,1.3776024522018444
IT,6.194300045013421,6.251600045013419,6.3089000450134165,1.310262323783874,1.3097393237838741,1.309216323783874
BO,5.725599990844728,5.696399990844732,5.667199990844729,0.8110973132095332,0.8257093132095328,0.8403213132095324
MD,5.465499964141827,5.367799964141824,5.270099964141821,0.7153051260528542,0.7299321260528551,0.7445591260528559
PY,5.628500006103515,5.615800006103516,5.603100006103514,0.894694463455199,0.9078514634551986,0.9210084634551983
KZ,5.772099953460696,5.749999953460694,5.7278999534606925,1.1948522539291377,1.1963012539291378,1.1977502539291378
SI,6.1039999794006405,6.175999979400615,6.247999979400618,1.280202190910341,1.2867591909103417,1.2933161909103408
LT,6.161099990081766,6.2381999900817675,6.315299990081769,1.266004469573975,1.2769384695739774,1.2878724695739763
NI,6.23830001983643,6.308600019836433,6.378900019836436,0.7299758407745358,0.7475418407745309,0.7651078407745331
PE,5.628200030517576,5.594800030517575,5.561400030517575,0.9823670544357288,0.9881270544357292,0.9938870544357279
BY,5.20829995346071,5.078399953460689,4.9484999534607255,1.0785815119934092,1.0764355119934086,1.0742895119934088
PL,6.3018000099182245,6.408800009918224,6.515800009918223,1.236352572555539,1.2454575725555408,1.254562572555539
MY,5.7405000221252465,5.686000022125242,5.631500022125252,1.2404570839538565,1.2506430839538574,1.2608290839538547
HR,5.212300044250497,5.1302000442505005,5.0481000442505035,1.174346246681214,1.1816892466812128,1.1890322466812133
LY,5.444900019073501,5.3942000190734944,5.343500019073488,0.9887926128692541,0.9631146128692549,0.9374366128692557
RU,5.743999964141842,5.725799964141842,5.707599964141842,1.1999716194305419,1.200915619430542,1.201859619430542
JM,5.884599974060052,5.958799974060042,6.032999974060033,0.8459308618926995,0.8426218618926997,0.839312861892699
CY,6.0117999626159815,6.104799962615971,6.19779996261596,1.2809786153945923,1.2829956153945918,1.2850126153945922
DZ,5.113200043487552,4.928400043487557,4.743600043487561,1.0284908933334354,1.0336668933334359,1.0388428933334346
TM,5.3950000053405915,5.332600005340581,5.270200005340584,1.0843503525924696,1.0966393525924687,1.1089283525924714
MU,6.026100037384026,6.132600037384037,6.23910003738402,1.1614631093826304,1.1785691093826287,1.195675109382634
EE,5.982800012207036,6.0978000122070455,6.212800012207026,1.2651158680343642,1.2742038680343626,1.283291868034361
ID,5.061500016784663,4.998000016784658,4.934500016784682,0.9669957184677145,0.9823377184677149,0.9976797184677153
VN,5.0561999763488785,5.023399976348884,4.990599976348875,0.7811085150947576,0.8003395150947625,0.8195705150947603
TR,5.468199999999996,5.485799999999998,5.503399999999999,1.219170874801641,1.2418828748016395,1.2645948748016451
KG,5.142200037384036,5.131800037384036,5.121400037384035,0.5792880152168252,0.5915880152168249,0.6038880152168247
