,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
41,4.25617299079895,0.08032925164861393,0.022463130950927734,0.00045698410948865286,1,0,0,500,3,2,0,0.7,"{'subsample': 1, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 2, 'gamma': 0, 'colsample_bytree': 0.7}",0.7469684721099434,0.6968472109943411,0.7299919159256265,0.7154405820533549,0.7202910266774454,0.7219078415521423,0.016527929102878654,48
52,0.45463271141052247,0.006845296331035055,0.011801481246948242,0.000399380284283543,0.8,1,1,50,3,0.5,1,0.6,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 0.6}",0.7413096200485044,0.7105901374292644,0.7267582861762328,0.7097817299919159,0.7154405820533549,0.7207760711398545,0.011920652282080356,50
77,6.980731201171875,0.22273278689042705,0.03420157432556152,0.0007493865947345428,0.8,0.5,0.5,500,5,2,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 2, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.7421180274858529,0.7016976556184317,0.7178658043654002,0.7235246564268392,0.7162489894907034,0.7202910266774455,0.013075224976010177,51
18,4.937688970565796,0.06087750626529248,0.02220468521118164,0.0009799976184592114,0.5,0.5,0,500,3,3,0,0.7,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 3, 'gamma': 0, 'colsample_bytree': 0.7}",0.730800323362975,0.7049312853678253,0.7259498787388844,0.7210994341147938,0.7186742118027486,0.7202910266774454,0.008736786474442246,52
7,0.7356492519378662,0.011970109593867805,0.01319880485534668,0.0009774115948443477,0.8,1,0,50,5,3,1,0.6,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 3, 'gamma': 1, 'colsample_bytree': 0.6}",0.725141471301536,0.7016976556184317,0.7291835084882781,0.7243330638641875,0.7210994341147938,0.7202910266774454,0.009646844876427673,52
58,11.529717588424683,0.4917742710628826,0.07785735130310059,0.0011829479168490383,0.8,0.5,0.1,500,10,0.5,0.1,0.5,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.7227162489894907,0.7073565076798707,0.7202910266774454,0.7227162489894907,0.7275666936135813,0.7201293451899756,0.006809843068278961,54
31,3.8686501026153564,0.032151709699684845,0.01940431594848633,0.0004914228924653266,0.8,0.5,0,200,5,1,1,1,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 1, 'gamma': 1, 'colsample_bytree': 1}",0.7396928051738076,0.7097817299919159,0.7000808407437349,0.7130153597413096,0.7299919159256265,0.718512530315279,0.014328665507585795,55
86,8.063658571243286,0.07309192859476979,0.04050898551940918,0.0032878746294861573,0.5,0.1,0.5,200,10,0.5,1,1,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 1}",0.725141471301536,0.7178658043654002,0.7396928051738076,0.7113985448666128,0.6968472109943411,0.7181891673403394,0.014229808068351274,56
97,2.6798877239227297,0.01586102187738744,0.024605464935302735,0.0007969892323042523,0.5,1,0,100,10,0.5,0,0.5,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 0, 'colsample_bytree': 0.5}",0.7372675828617623,0.6992724333063864,0.7235246564268392,0.7073565076798707,0.7202910266774454,0.7175424413904608,0.013190672953514058,57
24,0.4684565544128418,0.006509477543392735,0.012202215194702149,0.00040000801433682094,1,0.1,0,50,3,1,1,0.7,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 1, 'gamma': 1, 'colsample_bytree': 0.7}",0.7170573969280517,0.7122069523039612,0.7210994341147938,0.7162489894907034,0.719482619240097,0.7172190784155215,0.0030420190335047103,58
